Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3500105;Interior;Adamantina;98;6;;
3500204;Interior;Adolfo;34;3;;
3500303;Interior;Aguaí;110;4;;
3500402;Interior;Águas da Prata;2;1;;
3500501;Interior;Águas de Lindóia;59;4;;
3500550;Interior;Águas de Santa Bárbara;7;0;;
3500600;Interior;Águas de São Pedro;14;0;;
3500709;Interior;Agudos;196;3;;
3500758;Interior;Alambari;33;0;;
3500808;Interior;Alfredo Marcondes;20;1;;
3500907;Interior;Altair;7;1;;
3501004;Interior;Altinópolis;82;3;;
3501103;Interior;Alto Alegre;13;1;;
3501152;Interior;Alumínio;81;4;;
3501202;Interior;Álvares Florence;17;0;;
3501301;Interior;Álvares Machado;99;2;;
3501400;Interior;Álvaro de Carvalho;5;3;;
3501509;Interior;Alvinlândia;9;0;;
3501608;Interior;Americana;1511;58;;
3501707;Interior;Américo Brasiliense;201;2;;
3501806;Interior;Américo de Campos;90;1;;
3501905;Interior;Amparo;298;11;;
3502002;Interior;Analândia;18;0;;
3502101;Interior;Andradina;104;5;;
3502200;Interior;Angatuba;116;2;;
3502309;Interior;Anhembi;4;0;;
3502408;Interior;Anhumas;13;0;;
3502507;Interior;Aparecida;78;0;;
3502606;Interior;Aparecida d'Oeste;12;0;;
3502705;Interior;Apiaí;61;3;;
3502754;Interior;Araçariguama;125;3;;
3502804;Interior;Araçatuba;2786;70;;
3502903;Interior;Araçoiaba da Serra;198;6;;
3503000;Interior;Aramina;29;1;;
3503109;Interior;Arandu;14;2;;
3503158;Interior;Arapeí;1;1;;
3503208;Interior;Araraquara;1545;15;;
3503307;Interior;Araras;1139;29;;
3503406;Interior;Arealva;38;0;;
3503505;Interior;Areias;24;0;;
3503604;Interior;Areiópolis;30;3;;
3503703;Interior;Ariranha;66;1;;
3503802;Interior;Artur Nogueira;205;3;;
3503901;RMSP (exceto capital);Arujá;890;55;;
3503950;Interior;Aspásia;22;0;;
3504008;Interior;Assis;507;17;;
3504107;Interior;Atibaia;485;24;;
3504206;Interior;Auriflama;133;6;;
3504305;Interior;Avaí;24;0;;
3504404;Interior;Avanhandava;19;1;;
3504503;Interior;Avaré;195;11;;
3504602;Interior;Bady Bassitt;252;11;;
3504701;Interior;Balbinos;14;0;;
3504800;Interior;Bálsamo;97;2;;
3504909;Interior;Bananal;41;0;;
3505005;Interior;Barão de Antonina;10;0;;
3505104;Interior;Barbosa;27;0;;
3505203;Interior;Bariri;166;6;;
3505302;Interior;Barra Bonita;243;6;;
3505351;Interior;Barra do Chapéu;22;0;;
3505401;Interior;Barra do Turvo;27;2;;
3505500;Interior;Barretos;1719;69;;
3505609;Interior;Barrinha;214;10;;
3505708;RMSP (exceto capital);Barueri;2885;264;;
3505807;Interior;Bastos;25;0;;
3505906;Interior;Batatais;113;9;;
3506003;Interior;Bauru;2911;59;;
3506102;Interior;Bebedouro;209;16;;
3506201;Interior;Bento de Abreu;16;0;;
3506300;Interior;Bernardino de Campos;38;0;;
3506359;Interior;Bertioga;896;24;;
3506409;Interior;Bilac;26;1;;
3506508;Interior;Birigui;689;25;;
3506607;RMSP (exceto capital);Biritiba Mirim;105;10;;
3506706;Interior;Boa Esperança do Sul;36;1;;
3506805;Interior;Bocaina;81;3;;
3506904;Interior;Bofete;64;3;;
3507001;Interior;Boituva;422;12;;
3507100;Interior;Bom Jesus dos Perdões;65;0;;
3507159;Interior;Bom Sucesso de Itararé;2;0;;
3507209;Interior;Borá;1;0;;
3507308;Interior;Boracéia;21;0;;
3507407;Interior;Borborema;41;0;;
3507456;Interior;Borebi;15;1;;
3507506;Interior;Botucatu;1051;19;;
3507605;Interior;Bragança Paulista;964;23;;
3507704;Interior;Braúna;39;4;;
3507753;Interior;Brejo Alegre;9;0;;
3507803;Interior;Brodowski;183;4;;
3507902;Interior;Brotas;30;0;;
3508009;Interior;Buri;80;4;;
3508108;Interior;Buritama;96;4;;
3508207;Interior;Buritizal;26;0;;
3508306;Interior;Cabrália Paulista;47;0;;
3508405;Interior;Cabreúva;532;32;;
3508504;Interior;Caçapava;455;15;;
3508603;Interior;Cachoeira Paulista;88;5;;
3508702;Interior;Caconde;28;0;;
3508801;Interior;Cafelândia;96;2;;
3508900;Interior;Caiabu;21;2;;
3509007;RMSP (exceto capital);Caieiras;996;61;;
3509106;Interior;Caiuá;10;0;;
3509205;RMSP (exceto capital);Cajamar;863;52;;
3509254;Interior;Cajati;325;2;;
3509304;Interior;Cajobi;43;2;;
3509403;Interior;Cajuru;111;2;;
3509452;Interior;Campina do Monte Alegre;63;0;;
3509502;Interior;Campinas;14542;603;;
3509601;Interior;Campo Limpo Paulista;528;37;;
3509700;Interior;Campos do Jordão;246;2;;
3509809;Interior;Campos Novos Paulista;10;0;;
3509908;Interior;Cananéia;75;3;;
3509957;Interior;Canas;5;0;;
3510005;Interior;Cândido Mota;93;2;;
3510104;Interior;Cândido Rodrigues;18;0;;
3510153;Interior;Canitar;9;0;;
3510203;Interior;Capão Bonito;200;14;;
3510302;Interior;Capela do Alto;139;1;;
3510401;Interior;Capivari;346;2;;
3510500;Interior;Caraguatatuba;683;47;;
3510609;RMSP (exceto capital);Carapicuíba;3451;208;;
3510708;Interior;Cardoso;52;2;;
3510807;Interior;Casa Branca;54;1;;
3510906;Interior;Cássia dos Coqueiros;35;0;;
3511003;Interior;Castilho;54;1;;
3511102;Interior;Catanduva;884;38;;
3511201;Interior;Catiguá;65;2;;
3511300;Interior;Cedral;51;2;;
3511409;Interior;Cerqueira César;43;1;;
3511508;Interior;Cerquilho;128;7;;
3511607;Interior;Cesário Lange;36;2;;
3511706;Interior;Charqueada;154;4;;
3511904;Interior;Clementina;35;0;;
3512001;Interior;Colina;94;8;;
3512100;Interior;Colômbia;30;1;;
3512209;Interior;Conchal;97;3;;
3512308;Interior;Conchas;115;5;;
3512407;Interior;Cordeirópolis;631;7;;
3512506;Interior;Coroados;39;2;;
3512605;Interior;Coronel Macedo;1;1;;
3512704;Interior;Corumbataí;40;0;;
3512803;Interior;Cosmópolis;556;10;;
3512902;Interior;Cosmorama;65;3;;
3513009;RMSP (exceto capital);Cotia;2054;115;;
3513108;Interior;Cravinhos;129;10;;
3513207;Interior;Cristais Paulista;12;1;;
3513405;Interior;Cruzeiro;148;8;;
3513504;Interior;Cubatão;3762;129;;
3513603;Interior;Cunha;24;0;;
3513702;Interior;Descalvado;74;3;;
3513801;RMSP (exceto capital);Diadema;4686;239;;
3513850;Interior;Dirce Reis;4;0;;
3513900;Interior;Divinolândia;28;2;;
3514007;Interior;Dobrada;22;0;;
3514106;Interior;Dois Córregos;33;3;;
3514205;Interior;Dolcinópolis;42;2;;
3514304;Interior;Dourado;32;0;;
3514403;Interior;Dracena;185;7;;
3514502;Interior;Duartina;50;1;;
3514601;Interior;Dumont;107;1;;
3514700;Interior;Echaporã;9;1;;
3514809;Interior;Eldorado;76;1;;
3514908;Interior;Elias Fausto;112;4;;
3514924;Interior;Elisiário;33;0;;
3514957;Interior;Embaúba;23;1;;
3515004;RMSP (exceto capital);Embu das Artes;1869;115;;
3515103;RMSP (exceto capital);Embu-Guaçu;550;18;;
3515129;Interior;Emilianópolis;27;2;;
3515152;Interior;Engenheiro Coelho;230;9;;
3515186;Interior;Espírito Santo do Pinhal;133;2;;
3515194;Interior;Espírito Santo do Turvo;18;0;;
3515202;Interior;Estrela d'Oeste;184;5;;
3515301;Interior;Estrela do Norte;9;0;;
3515350;Interior;Euclides da Cunha Paulista;14;2;;
3515400;Interior;Fartura;33;1;;
3515509;Interior;Fernandópolis;861;15;;
3515608;Interior;Fernando Prestes;38;2;;
3515657;Interior;Fernão;2;0;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;1287;89;;
3515806;Interior;Flora Rica;5;0;;
3515905;Interior;Floreal;24;1;;
3516002;Interior;Flórida Paulista;37;1;;
3516200;Interior;Franca;564;22;;
3516309;RMSP (exceto capital);Francisco Morato;1491;63;;
3516408;RMSP (exceto capital);Franco da Rocha;1118;85;;
3516507;Interior;Gabriel Monteiro;14;2;;
3516606;Interior;Gália;8;0;;
3516705;Interior;Garça;45;1;;
3516804;Interior;Gastão Vidigal;67;10;;
3516853;Interior;Gavião Peixoto;26;0;;
3516903;Interior;General Salgado;98;0;;
3517000;Interior;Getulina;56;0;;
3517109;Interior;Glicério;18;0;;
3517208;Interior;Guaiçara;171;2;;
3517307;Interior;Guaimbê;13;1;;
3517406;Interior;Guaíra;286;5;;
3517505;Interior;Guapiaçu;157;11;;
3517604;Interior;Guapiara;53;6;;
3517703;Interior;Guará;30;1;;
3517802;Interior;Guaraçaí;12;0;;
3517901;Interior;Guaraci;11;0;;
3518008;Interior;Guarani d'Oeste;27;0;;
3518107;Interior;Guarantã;49;0;;
3518206;Interior;Guararapes;237;2;;
3518305;RMSP (exceto capital);Guararema;196;14;;
3518404;Interior;Guaratinguetá;229;17;;
3518503;Interior;Guareí;144;1;;
3518602;Interior;Guariba;471;13;;
3518701;Interior;Guarujá;4258;176;;
3518800;RMSP (exceto capital);Guarulhos;10728;1002;;
3518859;Interior;Guatapará;16;0;;
3518909;Interior;Guzolândia;19;0;;
3519006;Interior;Herculândia;35;2;;
3519055;Interior;Holambra;80;0;;
3519071;Interior;Hortolândia;1743;53;;
3519105;Interior;Iacanga;47;0;;
3519204;Interior;Iacri;7;0;;
3519253;Interior;Iaras;8;1;;
3519303;Interior;Ibaté;136;1;;
3519402;Interior;Ibirá;123;3;;
3519501;Interior;Ibirarema;50;0;;
3519600;Interior;Ibitinga;315;10;;
3519709;Interior;Ibiúna;215;14;;
3519808;Interior;Icém;15;0;;
3519907;Interior;Iepê;3;1;;
3520004;Interior;Igaraçu do Tietê;117;2;;
3520103;Interior;Igarapava;145;3;;
3520202;Interior;Igaratá;226;5;;
3520301;Interior;Iguape;195;1;;
3520400;Interior;Ilhabela;525;6;;
3520426;Interior;Ilha Comprida;60;2;;
3520442;Interior;Ilha Solteira;56;1;;
3520509;Interior;Indaiatuba;983;80;;
3520608;Interior;Indiana;39;0;;
3520707;Interior;Indiaporã;16;0;;
3520806;Interior;Inúbia Paulista;5;0;;
3520905;Interior;Ipaussu;95;0;;
3521002;Interior;Iperó;82;0;;
3521101;Interior;Ipeúna;26;0;;
3521150;Interior;Ipiguá;61;3;;
3521200;Interior;Iporanga;7;0;;
3521309;Interior;Ipuã;181;5;;
3521408;Interior;Iracemápolis;435;7;;
3521507;Interior;Irapuã;18;0;;
3521606;Interior;Irapuru;34;1;;
3521705;Interior;Itaberá;36;0;;
3521804;Interior;Itaí;32;0;;
3521903;Interior;Itajobi;155;6;;
3522000;Interior;Itaju;35;0;;
3522109;Interior;Itanhaém;388;34;;
3522158;Interior;Itaoca;14;0;;
3522208;RMSP (exceto capital);Itapecerica da Serra;1407;109;;
3522307;Interior;Itapetininga;496;29;;
3522406;Interior;Itapeva;137;4;;
3522505;RMSP (exceto capital);Itapevi;1719;170;;
3522604;Interior;Itapira;300;14;;
3522653;Interior;Itapirapuã Paulista;21;0;;
3522703;Interior;Itápolis;90;2;;
3522802;Interior;Itaporanga;39;1;;
3522901;Interior;Itapuí;68;1;;
3523008;Interior;Itapura;27;1;;
3523107;RMSP (exceto capital);Itaquaquecetuba;2232;183;;
3523206;Interior;Itararé;73;1;;
3523305;Interior;Itariri;112;3;;
3523404;Interior;Itatiba;373;10;;
3523503;Interior;Itatinga;148;3;;
3523602;Interior;Itirapina;71;2;;
3523701;Interior;Itirapuã;5;1;;
3523800;Interior;Itobi;47;0;;
3523909;Interior;Itu;1229;47;;
3524006;Interior;Itupeva;646;23;;
3524105;Interior;Ituverava;58;1;;
3524204;Interior;Jaborandi;69;1;;
3524303;Interior;Jaboticabal;151;12;;
3524402;Interior;Jacareí;1259;47;;
3524501;Interior;Jaci;115;2;;
3524600;Interior;Jacupiranga;144;4;;
3524709;Interior;Jaguariúna;316;11;;
3524808;Interior;Jales;335;5;;
3524907;Interior;Jambeiro;32;1;;
3525003;RMSP (exceto capital);Jandira;748;48;;
3525102;Interior;Jardinópolis;189;15;;
3525201;Interior;Jarinu;214;19;;
3525300;Interior;Jaú;714;22;;
3525409;Interior;Jeriquara;5;0;;
3525508;Interior;Joanópolis;23;0;;
3525607;Interior;João Ramalho;22;1;;
3525706;Interior;José Bonifácio;335;9;;
3525805;Interior;Júlio Mesquita;10;1;;
3525854;Interior;Jumirim;8;0;;
3525904;Interior;Jundiaí;5980;270;;
3526001;Interior;Junqueirópolis;61;2;;
3526100;Interior;Juquiá;126;1;;
3526209;RMSP (exceto capital);Juquitiba;184;6;;
3526407;Interior;Laranjal Paulista;183;5;;
3526506;Interior;Lavínia;16;0;;
3526605;Interior;Lavrinhas;14;1;;
3526704;Interior;Leme;963;27;;
3526803;Interior;Lençóis Paulista;1501;28;;
3526902;Interior;Limeira;1854;98;;
3527009;Interior;Lindóia;24;0;;
3527108;Interior;Lins;481;17;;
3527207;Interior;Lorena;187;10;;
3527256;Interior;Lourdes;2;0;;
3527306;Interior;Louveira;414;17;;
3527405;Interior;Lucélia;48;5;;
3527504;Interior;Lucianópolis;1;0;;
3527603;Interior;Luís Antônio;108;8;;
3527702;Interior;Luiziânia;59;0;;
3527801;Interior;Lupércio;15;0;;
3527900;Interior;Lutécia;3;0;;
3528007;Interior;Macatuba;385;4;;
3528106;Interior;Macaubal;34;2;;
3528205;Interior;Macedônia;27;0;;
3528304;Interior;Magda;19;1;;
3528403;Interior;Mairinque;281;14;;
3528502;RMSP (exceto capital);Mairiporã;420;34;;
3528601;Interior;Manduri;20;0;;
3528700;Interior;Marabá Paulista;4;0;;
3528809;Interior;Maracaí;86;0;;
3528858;Interior;Marapoama;9;0;;
3528908;Interior;Mariápolis;6;0;;
3529005;Interior;Marília;749;18;;
3529104;Interior;Marinópolis;5;0;;
3529203;Interior;Martinópolis;78;3;;
3529302;Interior;Matão;158;7;;
3529401;RMSP (exceto capital);Mauá;3121;191;;
3529500;Interior;Mendonça;105;5;;
3529609;Interior;Meridiano;15;0;;
3529658;Interior;Mesópolis;15;0;;
3529708;Interior;Miguelópolis;89;2;;
3529807;Interior;Mineiros do Tietê;69;2;;
3529906;Interior;Miracatu;160;11;;
3530003;Interior;Mira Estrela;17;1;;
3530102;Interior;Mirandópolis;126;5;;
3530201;Interior;Mirante do Paranapanema;22;0;;
3530300;Interior;Mirassol;327;12;;
3530409;Interior;Mirassolândia;48;1;;
3530508;Interior;Mococa;248;7;;
3530607;RMSP (exceto capital);Mogi das Cruzes;3091;223;;
3530706;Interior;Mogi Guaçu;1194;34;;
3530805;Interior;Mogi Mirim;407;21;;
3530904;Interior;Mombuca;23;0;;
3531001;Interior;Monções;29;1;;
3531100;Interior;Mongaguá;231;10;;
3531209;Interior;Monte Alegre do Sul;14;0;;
3531308;Interior;Monte Alto;141;2;;
3531407;Interior;Monte Aprazível;217;6;;
3531506;Interior;Monte Azul Paulista;75;1;;
3531704;Interior;Monteiro Lobato;20;0;;
3531803;Interior;Monte Mor;537;11;;
3531902;Interior;Morro Agudo;431;9;;
3532009;Interior;Morungaba;44;2;;
3532058;Interior;Motuca;29;0;;
3532108;Interior;Murutinga do Sul;10;0;;
3532157;Interior;Nantes;3;0;;
3532207;Interior;Narandiba;4;1;;
